"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 25 14:17:49 EEST 2024","Wed Sep 25 14:18:15 EEST 2024","25825","","BasketTests","","BasketTests","testChangingProductQuantityInBasket","testChangingProductQuantityInBasket",""
"passed","Wed Sep 25 14:18:18 EEST 2024","Wed Sep 25 14:18:22 EEST 2024","4252","","RegistrationTest","","RegistrationTest","[4] test@test.com, test1@test.com, skip, skip, skip, skip, skip, Електронні адреси не збігаються (invalidRegistrationTest)","[4] test@test.com, test1@test.com, skip, skip, skip, skip, skip, Електронні адреси не збігаються (invalidRegistrationTest)",""
"passed","Wed Sep 25 14:17:49 EEST 2024","Wed Sep 25 14:18:02 EEST 2024","13063","","BezpruzhinniMatraciTests","","BezpruzhinniMatraciTests","ascSortingBezpruzhinniMatraci","ascSortingBezpruzhinniMatraci",""
"passed","Wed Sep 25 14:18:00 EEST 2024","Wed Sep 25 14:18:05 EEST 2024","4688","","RegistrationTest","","RegistrationTest","[2] null, skip, skip, skip, null, skip, skip, Обов'язкове поле; Обов'язкове поле (invalidRegistrationTest)","[2] null, skip, skip, skip, null, skip, skip, Обов'язкове поле; Обов'язкове поле (invalidRegistrationTest)",""
"passed","Wed Sep 25 14:18:02 EEST 2024","Wed Sep 25 14:18:19 EEST 2024","16724","","BezpruzhinniMatraciTests","","BezpruzhinniMatraciTests","alwaysLowPriceFilterBezpruzhinniMatraci","alwaysLowPriceFilterBezpruzhinniMatraci",""
"passed","Wed Sep 25 14:18:30 EEST 2024","Wed Sep 25 14:18:35 EEST 2024","4662","","RegistrationTest","","RegistrationTest","[7] test@test.com, test@test.com, Alex_123456, invalidFirstName, invalidLastName, null, null, Invalid first name: invalidFirstName; Invalid last name: invalidLastName (invalidRegistrationTest)","[7] test@test.com, test@test.com, Alex_123456, invalidFirstName, invalidLastName, null, null, Invalid first name: invalidFirstName; Invalid last name: invalidLastName (invalidRegistrationTest)",""
"passed","Wed Sep 25 14:17:56 EEST 2024","Wed Sep 25 14:18:00 EEST 2024","3983","","RegistrationTest","","RegistrationTest","[1] null, skip, null, skip, skip, skip, skip, Обов'язкове поле; Обов'язкове поле (invalidRegistrationTest)","[1] null, skip, null, skip, skip, skip, skip, Обов'язкове поле; Обов'язкове поле (invalidRegistrationTest)",""
"passed","Wed Sep 25 14:18:26 EEST 2024","Wed Sep 25 14:18:30 EEST 2024","4442","","RegistrationTest","","RegistrationTest","[6] test@test.com, test@test.com, invalidPassword, Джон, Доу, null, null, Your password must contain minimum 8 characters and at least one uppercase letter, one lowercase letter and one number (invalidRegistrationTest)","[6] test@test.com, test@test.com, invalidPassword, Джон, Доу, null, null, Your password must contain minimum 8 characters and at least one uppercase letter, one lowercase letter and one number (invalidRegistrationTest)",""
"passed","Wed Sep 25 14:18:22 EEST 2024","Wed Sep 25 14:18:26 EEST 2024","3811","","RegistrationTest","","RegistrationTest","[5] test@test.com, test#test.com, skip, skip, skip, skip, skip, Будь ласка, введіть правильну електронну пошту. (invalidRegistrationTest)","[5] test@test.com, test#test.com, skip, skip, skip, skip, skip, Будь ласка, введіть правильну електронну пошту. (invalidRegistrationTest)",""
"passed","Wed Sep 25 14:17:49 EEST 2024","Wed Sep 25 14:18:02 EEST 2024","12740","","ObranePageTest","","ObranePageTest","addProductToObrane","addProductToObrane",""
"passed","Wed Sep 25 14:18:05 EEST 2024","Wed Sep 25 14:18:18 EEST 2024","12717","","RegistrationTest","","RegistrationTest","[3] null, skip, skip, skip, null, skip, null, Обов'язкове поле; Обов'язкове поле; Обов'язкове поле; Обов'язкове поле; Обов'язкове поле; Вам потрібно прийняти Умови та Положення (invalidRegistrationTest)","[3] null, skip, skip, skip, null, skip, null, Обов'язкове поле; Обов'язкове поле; Обов'язкове поле; Обов'язкове поле; Обов'язкове поле; Вам потрібно прийняти Умови та Положення (invalidRegistrationTest)",""
"passed","Wed Sep 25 14:17:49 EEST 2024","Wed Sep 25 14:17:56 EEST 2024","6963","","RegistrationTest","","RegistrationTest","[0] null, skip, skip, skip, skip, skip, skip, Обов'язкове поле (invalidRegistrationTest)","[0] null, skip, skip, skip, skip, skip, skip, Обов'язкове поле (invalidRegistrationTest)",""
